college_code,cast,cutoff,year,tier
1315,BC,197.5,2020,1
1315,BC,197.5,2021,1
1315,BC,198.5,2022,1
1315,BC,197.5,2023,1
1315,BC,197.5,2024,1
1315,BCM,197.0,2020,1
1315,BCM,197.0,2021,1
1315,BCM,197.5,2022,1
1315,BCM,197.0,2023,1
1315,BCM,197.0,2024,1
1315,MBC,196.5,2020,1
1315,MBC,196.5,2021,1
1315,MBC,197.0,2022,1
1315,MBC,196.5,2023,1
1315,MBC,196.5,2024,1
1315,MBCDNC,196.5,2022,1
1315,OC,198.5,2020,1
1315,OC,198.5,2021,1
1315,OC,198.5,2022,1
1315,OC,199.0,2023,1
1315,OC,198.5,2024,1
1315,SC,191.5,2020,1
1315,SC,191.5,2021,1
1315,SC,191.5,2022,1
1315,SC,191.5,2023,1
1315,SC,191.5,2024,1
1315,SCA,184.0,2020,1
1315,SCA,184.0,2021,1
1315,SCA,191.5,2022,1
1315,SCA,184.0,2023,1
1315,SCA,184.0,2024,1
1315,ST,178.0,2020,1
1315,ST,178.0,2021,1
1315,ST,191.5,2022,1
1315,ST,178.0,2023,1
1315,ST,191.5,2024,1
1317,BC,177.5,2020,2
1317,BC,177.5,2021,2
1317,BC,185.0,2022,2
1317,BC,177.5,2023,2
1317,BC,177.5,2024,2
1317,BCM,178.0,2020,2
1317,BCM,178.0,2021,2
1317,BCM,178.0,2022,2
1317,BCM,178.0,2023,2
1317,BCM,178.0,2024,2
1317,MBC,176.5,2020,2
1317,MBC,176.5,2021,2
1317,MBC,176.5,2022,2
1317,MBC,176.5,2023,2
1317,MBC,176.5,2024,2
1317,MBCDNC,176.5,2022,2
1317,OC,185.0,2020,2
1317,OC,185.0,2021,2
1317,OC,185.0,2022,2
1317,OC,185.0,2023,2
1317,OC,185.0,2024,2
1317,SC,150.5,2020,2
1317,SC,150.5,2021,2
1317,SC,150.5,2022,2
1317,SC,150.5,2023,2
1317,SC,150.5,2024,2
1317,SCA,150.5,2022,2
1317,ST,151.5,2020,2
1317,ST,151.5,2021,2
1317,ST,151.5,2022,2
1317,ST,151.5,2023,2
1317,ST,151.5,2024,2
1321,BC,158.0,2020,2
1321,BC,158.0,2021,2
1321,BC,158.0,2022,2
1321,BC,163.5,2023,2
1321,BC,160.5,2024,2
